course_title,price,reviews,skor
Complete GST Course & Certification - Grow Your CA Practice,75,923,70.0
Financial Modeling for Business Analysts and Consultants,45,74,70.0
Investing And Trading For Beginners: Mastering Price Charts,65,178,70.0
Financial Management Risk and Return For Securities,30,21,70.0
Short Selling: Learn To Sell Stocks Before The Fall,75,106,70.0
Basic Technical Analysis: Learn the structure of the market,20,79,70.0
7 Deadly Mistakes of Investing that Will Slash Your Profits!,50,24,70.0
Create A Business From Home Trading Stocks Today In 2017,75,83,70.0
Introduction to Accounting : Mastering Financial Statements,50,38,70.0
The Complete Ethereum Course: Get .01 Ether In Your Wallet,45,333,70.0
The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,45,449,70.0
Forex Trading A-Z™ - With LIVE Examples of Forex Trading,195,2476,70.0
Beginner to Pro in Excel: Financial Modeling and Valuation,195,2697,70.0
The Complete Financial Analyst Course 2017,195,2347,70.0
Options Trading - How to Win with Weekly Options,115,1190,70.0
Four Fundamentals of Financial Planning,30,23,70.0
Dividend Investing: Build Your Portfolio for a Better Future,60,83,70.0
A Beginner's Guide to Quantopian Futures API,20,6,70.0
"Comprehensive Guide to Financial Markets, Investing &Trading",60,600,70.0
Forex Trading -  Learn to Trade Forex Like the Banks,20,240,70.0
Learn to Trade for Profit:Trading with Japanese Candlesticks,60,273,70.0
Start Trading Stocks Using Technical Analysis!,25,244,70.0
Introduction to Accounting: The Language of Business,20,370,70.0
"Using 'The Greeks To Understand Options""",50,55,70.0
How to Create Your Personal Budget,20,53,70.0
Forex Trading - Advanced Fundamental Analysis,20,100,70.0
How To Invest With Tiny Capital In Stocks ?,20,5,70.0
Intermediate Options trading concepts for Stocks and Options,40,30,70.0
Options Trading 101: The Basics,0,66,70.0
Practical Accounts APP Overview,20,1,70.0
Trend Traders Club: How To Find And Trade Fast Moving Trends,75,31,70.0
Financial Statements Basics,20,19,70.0
Ultimate Investment Banking Course,200,23,40.0
Beginner to Pro - Financial Analysis in Excel 2017,95,11,40.0
How To Maximize Your Profits Trading Options,200,45,40.0
Trading Penny Stocks: A Guide for All Levels In 2017,150,138,40.0
"Trading Stock Chart Patterns For Immediate, Explosive Gains",95,148,40.0
Options Trading 3 : Advanced Stock Profit and Success Method,195,34,40.0
The Only Investment Strategy You Need For Your Retirement,200,14,40.0
Forex Trading Secrets of the Pros With Amazon's AWS,200,93,40.0
Trading Options With Money Flow,200,42,40.0
Forex Trading Course: Work Smarter Not Harder Proven Results,195,52,40.0
Python Algo Trading: Sentiment Trading with News,200,19,40.0
The Complete Chart Pattern Trading Course: A Proven Approach,200,115,40.0
Financial Statements Made Easy,95,249,40.0
Winning Forex Trading with Live Forex Trading Examples,200,3,40.0
Forex Traders - Create Your First Trading Robot. No Coding!,200,84,40.0
Beginner to Pro in PowerPoint: Complete PowerPoint Training,150,518,40.0
Investing 101: The Complete Online Investing Course,200,373,40.0
Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,175,237,40.0
Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),150,103,40.0
Forex Trading: Your Complete Guide to Get Started Like a Pro,140,25,40.0
Python Algo Stock Trading: Automate Your Trading!,95,21,40.0
THE Forex Robot: Incredible ROI (Robot Included),200,171,40.0
Mastering High Probability Iron Condor Options Trading,200,11,40.0
The Complete Short Course on Ethereum,200,12,40.0
Options Trading Stocks: Proven Toolbox For Financial Success,195,118,40.0
"Introduction to Finance, Accounting, Modeling and Valuation",200,1118,40.0
The Complete Investment Banking Course 2017,195,809,40.0
Python for Finance: Investment Fundamentals & Data Analytics,195,278,40.0
Financial Modeling for Startups & Small Businesses,195,137,40.0
Black Algo Trading: Build Your Trading Robot,200,1113,40.0
Accounting & Financial Statement Analysis: Complete Training,150,594,40.0
Cryptocurrency Trading: Complete Guide To Trading Altcoins,95,42,40.0
Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!,200,872,40.0
Three Steps Trading - Live Trading - Real Account,190,11,40.0
Option Trading for Rookies:  Understand Options Completely,150,65,40.0
How I Learned Stock Trading (and How You Can Too),200,12,40.0
Learn to Trade for Profit: Find and Trade Winning Stocks,95,71,40.0
Trading Inside Bars - Master 1 Easy Pattern To Be Successful,125,200,40.0
Options Trading - Calendar Spread Course for Every Trader,200,11,40.0
Learn Accounting. Understand Business.,200,123,40.0
How to Consistently Win Trading Stocks in 30 Days or Less,145,169,40.0
How to Buy Cheap Options - Options Trading Pricing Model,200,2,40.0
Excel Crash Course: Master Excel for Financial Analysis,105,689,40.0
Stock Trading Ninja: Complete System For Trading Success,155,497,40.0
Hedge and Mutual Fund Careers: The Complete Guide,200,340,40.0
Algorithmic Trading In Forex: Create Your First Forex Robot!,185,713,40.0
The Power Modeling Bootcamp: Advanced Excel in 10 Days,150,158,40.0
Options Trading Basics (3-Course Bundle),180,985,40.0
How to Win 97% of Your Options Trades,125,461,40.0
How I Make Consistent Returns Trading Options,200,162,40.0
"Forex Strategies: Kelly Criterion, Larry Williams and more!",185,506,40.0
"Elite Trend Trader: Learn To Trade Stocks, Options & Forex",125,237,40.0
Options Trading Introduction: Day Trade Stock Options,95,218,40.0
The Almost Perfect Options Trading Strategy System - Unique,200,18,40.0
The Most Powerful Options Spread Trading Front Ratio Spread,200,16,40.0
What Finance Job is for You? Explanation of 14 Finance Roles,200,232,40.0
The Blueprint for Successful Stock Trading,120,331,40.0
Trading for Beginners - Intermediate Level,150,40,40.0
Learn How to Set Up an Incubator Hedge Fund - Step-by-Step,200,71,40.0
VPS for Forex Trading - Protect Your Forex Robots,160,225,40.0
Basic Excel for Basic Bookkeeping and Accounting,95,340,40.0
Trading Options For Consistent Returns: Calendar Spreads,200,69,40.0
The Complete Value Investing Course: A Proven Approach,200,212,40.0
FOREX Trading with Price Action,195,57,40.0
Emini ES Futures - Advanced Non Directional Options Trading,200,15,40.0
Learn How To Successfully Trade Stocks: In 5 Simple Steps,95,276,40.0
Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader,150,402,40.0
Bitcoin Profits for Beginners,100,18,40.0
